Transect	Plot	SampleDate	Year	Parameter	Value
A	01	20000822	2000	Lat	45.99178307
A	01	20000822	2000	Long	-74.00370783
A	01	20000822	2000	Elev	367.498
A	01	20060815	2006	Slope	20
A	01	20060815	2006	SloOrien	354
A	01	20000822	2000	SloShape	3
A	01	20060815	2006	SurfRock	5
A	01	20050816	2005	ThickO	5
A	01	20050816	2005	ThickA	4
A	01	20060815	2006	PresE	1
A	01	20050816	2005	RootDpth	28
A	01	20020821	2002	CanoOpen	18.96
A	01	19990825	1999	TreeYear	1951
A	02	20000822	2000	Lat	45.9919018
A	02	20000822	2000	Long	-74.003073
A	02	20000822	2000	Elev	367.632
A	02	20060815	2006	Slope	27
A	02	20060815	2006	SloOrien	330
A	02	20000822	2000	SloShape	1
A	02	20060815	2006	SurfRock	4
A	02	20050816	2005	ThickO	4
A	02	20050816	2005	ThickA	7
A	02	20060815	2006	PresE	1
A	02	20050816	2005	RootDpth	30
A	02	20020821	2002	CanoOpen	11.82
A	02	19990825	1999	TreeYear	1946
A	03	20000822	2000	Lat	45.99204787
A	03	20000822	2000	Long	-74.00242895
A	03	20000822	2000	Elev	375.855
A	03	20060815	2006	Slope	22
A	03	20060815	2006	SloOrien	352
A	03	20000822	2000	SloShape	3
A	03	20060815	2006	SurfRock	5
A	03	20050816	2005	ThickO	9
A	03	20050816	2005	ThickA	5
A	03	20060815	2006	PresE	1
A	03	20050816	2005	RootDpth	29
A	03	20020821	2002	CanoOpen	8.03
A	03	19990825	1999	TreeYear	1935
A	04	20000822	2000	Lat	45.99226178
A	04	20000822	2000	Long	-74.00185643
A	04	20000822	2000	Elev	369.375
A	04	20060815	2006	Slope	12
A	04	20060815	2006	SloOrien	4
A	04	20000822	2000	SloShape	1
A	04	20060815	2006	SurfRock	3
A	04	20050816	2005	ThickO	5
A	04	20050816	2005	ThickA	7
A	04	20060815	2006	PresE	1
A	04	20050816	2005	RootDpth	24
A	04	20020821	2002	CanoOpen	8.67
A	04	19990825	1999	TreeYear	1933
A	05	20000822	2000	Lat	45.99245078
A	05	20000822	2000	Long	-74.00124308
A	05	20000822	2000	Elev	366.261
A	05	20060815	2006	Slope	8.5
A	05	20060815	2006	SloOrien	266
A	05	20000822	2000	SloShape	1
A	05	20060815	2006	SurfRock	3
A	05	20050816	2005	ThickO	6
A	05	20050816	2005	ThickA	4
A	05	20060815	2006	PresE	1
A	05	20050816	2005	RootDpth	25
A	05	20020821	2002	CanoOpen	9.03
A	05	19990825	1999	TreeYear	1933
A	06	20000822	2000	Lat	45.99267663
A	06	20000822	2000	Long	-74.00062913
A	06	20000822	2000	Elev	374.158
A	06	20060815	2006	Slope	52
A	06	20060815	2006	SloOrien	222
A	06	20000822	2000	SloShape	3
A	06	20060815	2006	SurfRock	6
A	06	20050816	2005	ThickO	7
A	06	20050816	2005	ThickA	4
A	06	20060815	2006	PresE	1
A	06	20050816	2005	RootDpth	30
A	06	20020821	2002	CanoOpen	9.45
A	06	19990825	1999	TreeYear	1929
A	07	20000822	2000	Lat	45.99274722
A	07	20000822	2000	Long	-74.00013905
A	07	20000822	2000	Elev	388.55
A	07	20060815	2006	Slope	15
A	07	20060815	2006	SloOrien	200
A	07	20000822	2000	SloShape	1
A	07	20060815	2006	SurfRock	2
A	07	20050816	2005	ThickO	6
A	07	20050816	2005	ThickA	4
A	07	20060815	2006	PresE	1
A	07	20050816	2005	RootDpth	33
A	07	20020821	2002	CanoOpen	9.71
A	07	19990825	1999	TreeYear	1915
A	08	20000822	2000	Lat	45.99291447
A	08	20000822	2000	Long	-73.9996191
A	08	20000822	2000	Elev	388.841
A	08	20060815	2006	Slope	8
A	08	20060815	2006	SloOrien	148
A	08	20000822	2000	SloShape	3
A	08	20060815	2006	SurfRock	2
A	08	20050816	2005	ThickO	6
A	08	20050816	2005	ThickA	5
A	08	20060815	2006	PresE	1
A	08	20050816	2005	RootDpth	30
A	08	20020821	2002	CanoOpen	4.57
A	08	19990825	1999	TreeYear	1938
A	09	20000822	2000	Lat	45.9930684
A	09	20000822	2000	Long	-73.99909538
A	09	20000822	2000	Elev	392.17
A	09	20060815	2006	Slope	15
A	09	20060815	2006	SloOrien	209
A	09	20000822	2000	SloShape	1
A	09	20060815	2006	SurfRock	3
A	09	20050816	2005	ThickO	5
A	09	20050816	2005	ThickA	4
A	09	20060815	2006	PresE	1
A	09	20050816	2005	RootDpth	30
A	09	20020821	2002	CanoOpen	7.38
A	09	19990825	1999	TreeYear	1924
A	10	20000822	2000	Lat	45.9932026
A	10	20000822	2000	Long	-73.9984432
A	10	20000822	2000	Elev	386.672
A	10	20060815	2006	Slope	16
A	10	20060815	2006	SloOrien	74
A	10	20000822	2000	SloShape	1
A	10	20060815	2006	SurfRock	2
A	10	20050816	2005	ThickO	5
A	10	20050816	2005	ThickA	2
A	10	20060815	2006	PresE	1
A	10	20050816	2005	RootDpth	25
A	10	20020821	2002	CanoOpen	7.35
A	10	19990825	1999	TreeYear	1923
B	00	20000822	2000	Lat	45.99251443
B	00	20000822	2000	Long	-74.00339568
B	00	20000822	2000	Elev	369.548
B	00	20060815	2006	Slope	17
B	00	20060815	2006	SloOrien	249
B	00	20000822	2000	SloShape	1
B	00	20060815	2006	SurfRock	4
B	00	20050816	2005	ThickO	6
B	00	20050816	2005	ThickA	9
B	00	20060815	2006	PresE	1
B	00	20050816	2005	RootDpth	20
B	00	20020821	2002	CanoOpen	8.26
B	01	20000822	2000	Lat	45.99252822
B	01	20000822	2000	Long	-74.00268995
B	01	20000822	2000	Elev	365.797
B	01	20060815	2006	Slope	0
B	01	20060815	2006	SloOrien	36
B	01	20000822	2000	SloShape	1
B	01	20060815	2006	SurfRock	7
B	01	20050816	2005	ThickO	6
B	01	20050816	2005	ThickA	1
B	01	20060815	2006	PresE	1
B	01	20050816	2005	RootDpth	18
B	01	20020821	2002	CanoOpen	3.47
B	01	19990825	1999	TreeYear	1902
B	02	20000822	2000	Lat	45.99259675
B	02	20000822	2000	Long	-74.002237
B	02	20000822	2000	Elev	370.307
B	02	20060815	2006	Slope	2
B	02	20060815	2006	SloOrien	269
B	02	20000822	2000	SloShape	1
B	02	20060815	2006	SurfRock	5
B	02	20050816	2005	ThickO	9
B	02	20050816	2005	ThickA	3
B	02	20060815	2006	PresE	1
