station,count,codeTaxa
A01,11,BABA
A01,8,BARU
A01,1,BBPA
A01,1,BSAM
A01,17,BTOC
A02,12,BABA
A02,136,BARU
A02,6,BBPA
A02,3,BTOC
A03,12,AFGR
A03,2,BABA
A03,53,BARU
A03,2,BPGR
A03,1,BTCA
A04,4,AFGR
A04,4,BABA
A04,9,BARU
A05,4,AASA
A05,1,AFGR
A05,2,BABA
A05,47,BARU
A06,1,AASA
A06,5,BABA
A06,54,BARU
A07,2,AASA
A07,4,AFGR
A07,6,BABA
A07,5,BARU
A08,1,AASA
A08,6,AFGR
A08,6,BABA
A08,5,BARU
A09,1,AFGR
A09,2,BABA
A10,1,AASA
A10,9,AFGR
A10,6,BABA
A11,4,AASA
A11,2,AFGR
A11,12,BABA
A11,1,BARU
A12,1,AASA
B00,2,APST
B00,15,BTOC
B01,1,AASA
B01,31,BABA
B01,2,BARU
B01,1,BTOC
B02,4,BABA
B02,20,BARU
B03,4,AFGR
B03,5,BABA
B03,83,BARU
B03,3,BBPA
B03,1,BPMA
B03,5,BTOC
B04,1,AFGR
B04,2,BABA
B04,23,BARU
B04,1,BBPA
B04,1,BPGL
B05,15,AASA
B05,2,AFGR
B05,44,BARU
B05,3,BOVI
B06,3,AFGR
B06,9,BARU
B06,10,BOVI
B07,1,AFGR
B07,4,BOVI
B08,6,AFGR
B08,19,BABA
B09,10,AFGR
B09,32,BABA
B09,1,BARU
B09,1,BOVI
B10,1,AASA
B10,7,AFGR
B10,11,BABA
B10,1,BARU
B11,1,AFGR
B11,21,BARU
C01,3,BABA
C01,144,BARU
C01,7,BTOC
C02,3,BABA
C02,14,BARU
C02,1,BBPA
C02,4,BTOC
C03,1,AASA
C03,2,APST
C03,3,BABA
C03,46,BARU
C04,50,BARU
C05,1,AASA
C05,20,BARU
C06,1,AASA
C06,3,BABA
C06,66,BARU
C06,1,BBPA
C06,1,BPGR
C07,3,AASA
C07,1,AFGR
C07,2,BABA
C07,12,BARU
C08,3,AASA
C08,2,AFGR
C09,9,AASA
C09,2,AFGR
C10,2,AASA
C10,4,AFGR
C10,5,BABA
C11,2,AASA
C11,6,AFGR
C11,13,BABA
C12,19,AASA
C12,15,AFGR
C12,6,BABA
D01,6,BABA
D01,48,BARU
D01,10,BTOC
D02,1,AASA
D02,50,BARU
D02,2,BPBA
D02,1,BPMA
D02,2,BTOC
D03,4,BABA
D03,21,BARU
D03,1,BBPA
D04,2,APST
D04,6,BABA
D04,18,BARU
D04,1,BBPA
D04,1,BPGR
D05,5,AASA
D05,7,BABA
D05,42,BARU
D06,2,AASA
D06,2,BABA
D06,27,BARU
D07,2,AASA
D08,2,AASA
D08,1,AFGR
D10,4,BABA
D11,8,AASA
D11,10,AFGR
D11,3,BABA
D11,6,BARU
E01,1,AFGR
E01,2,APST
E01,21,BABA
E01,75,BARU
E01,8,BBPA
E01,2,BPGR
E01,4,BPRU
E01,1,BTOC
E02,1,BABA
E02,63,BARU
E02,2,BBPO
E03,7,AASA
E03,3,BABA
E03,23,BARU
E03,1,BBPA
E04,3,AASA
E04,2,BABA
E04,45,BARU
E05,36,BARU
E05,1,BPMA
E06,1,AASA
E06,4,BABA
E06,25,BARU
E07,1,AFGR
E07,2,BARU
E08,3,AASA
E08,3,AFGR
E08,1,BBAL
E09,2,AFGR
E09,1,BARU
E10,1,AFGR
E11,1,AASA
E11,17,BABA
E11,8,BARU
E12,3,AASA
E12,4,AFGR
E12,1,BABA
E12,2,BARU
