station,codeTaxa,nombre
A01,THOC,22
A01,BEPA,4
A01,ABBA,12
A01,PISP,2
A02,ABBA,7
A02,ACRU,12
A02,THOC,1
A02,BEPA,1
A03,ACRU,22
A03,BEPA,3
A03,ABBA,2
A04,ACRU,14
A04,ABBA,3
A05,ACRU,12
A05,ACSA,1
A05,ABBA,2
A05,BEPA,1
A06,ACRU,15
A06,ABBA,3
A06,BEPA,3
A07,ABBA,6
A07,ACSA,5
A07,POGR,1
A07,ACRU,1
A07,FAGR,2
A08,ABBA,5
A08,ACSA,5
A08,FAGR,3
A08,ACRU,1
A09,FAGR,1
A09,ABBA,2
A09,ACSA,4
A10,FAGR,4
A10,ABBA,7
A10,ACSA,4
A11,FAGR,7
A11,ABBA,11
A11,ACSA,1
B00,PIST,2
B00,THOC,9
B00,ABBA,1
B00,BEPA,1
B01,THOC,4
B01,ABBA,7
B01,ACRU,1
B02,ABBA,3
B02,ACRU,9
B03,ABBA,1
B03,ACRU,4
B03,ACSA,2
B03,THOC,2
B03,FAGR,1
B04,ACRU,8
B04,ABBA,1
B04,FAGR,2
B05,ACSA,7
B06,ACRU,3
B06,FAGR,11
B06,ACSA,1
B08,ACSA,1
C01,THOC,5
C01,ACRU,9
C02,ABBA,6
C02,ACRU,15
C02,PIST,1
C02,BEPA,1
C02,THOC,1
C03,ACRU,12
C03,PIGL,1
C03,ABBA,5
C04,ACRU,32
C05,ACRU,13
C05,BEPA,1
C06,ACRU,25
C06,ACSA,8
C06,ABBA,5
C06,BEPA,1
C07,ACRU,6
C07,ACSA,2
C07,ABBA,1
C08,ACSA,6
C08,OSVI,1
C08,FAGR,1
C09,ACSA,1
C09,FAGR,3
C10,ABBA,2
C10,FAGR,5
C10,ACSA,7
D01,ACRU,24
D01,ABBA,6
D01,THOC,8
D01,BEPA,1
D01,ACSA,1
D02,BEPA,2
D02,THOC,4
D02,ACRU,15
D02,ACSA,2
D02,ABBA,11
D02,PISP,1
D03,ACRU,20
D03,ABBA,7
D03,BEPA,3
D03,FAGR,1
D04,ABBA,12
D04,ACRU,32
D04,PIST,2
D04,BEPA,1
D04,ACSA,2
D04,FAGR,1
D04,PISP,1
D04,POGR,1
D05,ACSA,4
D05,ACRU,9
D05,ABBA,1
D05,BEPA,3
D06,ACSA,4
D06,ACRU,15
D06,ABBA,2
D06,BEPA,2
D06,POGR,1
D07,FAGR,3
D07,ACSA,3
D08,FAGR,1
D08,ACSA,4
D09,FAGR,1
D09,ACSA,2
D10,ABBA,4
D10,ACSA,3
E02,ACSA,2
E02,ABBA,4
E02,ACRU,7
E02,BEPA,2
E02,POGR,1
E03,ABBA,2
E03,ACRU,10
E03,ACSA,3
E03,BEPA,1
E04,ACRU,7
E04,ABBA,1
E04,BEPA,1
E05,ACRU,10
E05,ABBA,1
E05,BEPA,4
E06,ABBA,2
E06,ACRU,8
E06,ACSA,1
E07,FAGR,1
E07,ACSA,1
E08,ACSA,8
E09,FAGR,4
E09,ACRU,1
E10,ACSA,2
