station,count,codeTaxa
A01,23,BABA
A01,1,BARU
A01,7,BBPA
A01,7,BPMA
A01,40,BTOC
A02,13,BABA
A02,27,BARU
A02,3,BBPA
A02,1,BPGR
A02,1,BTOC
A03,1,AASA
A03,13,BABA
A03,45,BARU
A03,1,BBAL
A03,6,BBPA
A03,2,BPGR
A03,1,BPTR
A03,1,BTCA
A04,3,BABA
A04,34,BARU
A04,1,BPGR
A05,83,BARU
A05,1,BBPA
A06,3,AASA
A06,1,AFGR
A06,7,BABA
A06,30,BARU
A06,3,BBPA
A06,1,BTCA
A07,16,AASA
A07,4,AFGR
A07,8,BABA
A07,16,BARU
A08,12,AASA
A08,4,AFGR
A08,14,BABA
A08,9,BARU
A09,7,AASA
A09,4,BABA
A10,23,AFGR
A10,14,BABA
B00,5,APST
B00,1,BABA
B00,7,BBPA
B00,36,BTOC
B01,2,AFGR
B01,49,BABA
B01,1,BBPA
B01,13,BTOC
B02,8,BABA
B02,44,BARU
B02,1,BBAL
B02,1,BBPA
B02,4,BTOC
B03,9,AFGR
B03,36,BABA
B03,174,BARU
B03,5,BBPA
B03,2,BPGR
B03,5,BPMA
B03,18,BTOC
B04,4,AASA
B04,2,AFGR
B04,1,BABA
B04,31,BARU
B04,1,BPGL
B05,49,AASA
B05,14,AFGR
B05,4,BABA
B05,38,BARU
B06,8,AASA
B06,11,AFGR
B06,3,BABA
B06,24,BARU
B06,2,BBPA
B06,22,BOVI
B07,6,AASA
B07,7,AFGR
B07,2,BABA
B07,10,BBAL
B08,8,AASA
B08,19,AFGR
B08,32,BABA
B09,2,AASA
B09,3,AFGR
B09,57,BABA
B09,1,BARU
B10,1,AASA
B10,8,AFGR
B10,21,BABA
C01,3,BABA
C01,79,BARU
C01,1,BBPA
C01,12,BTOC
C02,23,BABA
C02,50,BARU
C02,4,BBPA
C02,3,BTOC
C03,5,BABA
C03,33,BARU
C03,1,BBPA
C03,1,BPGR
C04,79,AASA
C05,1,AASA
C05,3,BABA
C05,38,BARU
C05,6,BBPA
C06,11,BABA
C06,125,BARU
C06,1,BBAL
C06,14,BBPA
C07,3,AASA
C07,1,AFGR
C07,1,BABA
C07,40,BARU
C08,1,AASA
C08,1,AFGR
C08,12,BARU
C09,12,AASA
C09,2,AFGR
C10,9,AASA
C10,2,AFGR
C10,54,BABA
D01,2,BABA
D01,48,BARU
D01,18,BTOC
D02,39,BABA
D02,69,BARU
D02,1,BBPA
D02,2,BPMA
D02,7,BTOC
D03,1,AFGR
D03,20,BABA
D03,111,BARU
D03,5,BBPA
D04,1,AASA
D04,37,BABA
D04,114,BARU
D04,1,BPGR
D05,21,AASA
D05,8,BABA
D05,67,BARU
D05,6,BBPA
D06,2,AASA
D06,9,BABA
D06,70,BARU
D06,7,BBPA
D07,7,AASA
D07,2,AFGR
D07,1,BBPA
D08,16,AASA
D08,2,BARU
D09,4,AASA
D09,1,BABA
D10,4,AASA
D10,24,BABA
D10,4,BARU
E01,2,APST
E01,70,BABA
E01,137,BARU
E01,18,BBPA
E01,4,BPGR
E01,10,BPRU
E01,5,BTOC
E02,3,AASA
E02,3,AFGR
E02,10,BABA
E02,76,BARU
E02,10,BBPA
E02,2,BPGR
E03,1,AASA
E03,4,BABA
E03,48,BARU
E03,1,BBPA
E04,1,AASA
E04,2,BABA
E04,39,BARU
E04,7,BBPA
E05,1,AASA
E05,2,BABA
E05,66,BARU
E05,2,BBPA
E05,1,BPRU
E06,1,AASA
E06,7,BABA
E06,53,BARU
E06,1,BPTR
E07,3,AFGR
E07,1,BARU
E07,2,BBPA
E08,11,AASA
E08,4,AFGR
E08,1,BBPA
E09,4,AASA
E09,7,AFGR
