station,count,codeTaxa
A01,2,BARU
A01,2,BPGR
A01,7,BTOC
A02,3,BABA
A02,4,BAPN
A02,100,BARU
A02,1,BTOC
A03,125,BARU
A04,2,BAPN
A04,50,BARU
A05,4,AASA
A05,7,BAPN
A05,13,BARU
A06,10,AASA
A06,27,BARU
A07,55,AASA
A07,1,BABA
A07,6,BAPN
A07,51,BARU
A08,61,AASA
A08,2,BAPN
A08,45,BARU
A09,42,AASA
A09,1,BAPN
A10,44,AASA
A10,1,AFGR
A10,7,BAPN
A10,15,BARU
B00,3,BARU
B00,23,BPSP
B00,23,BTOC
B01,1,BABA
B01,55,BARU
B01,3,BTOC
B02,4,BAPN
B02,77,BARU
B03,2,AASA
B03,1,AFGR
B03,12,BAPN
B03,64,BARU
B04,17,AASA
B04,113,BARU
B05,54,AASA
B05,1,BAPN
B05,35,BARU
B06,91,AASA
B06,32,BARU
B06,1,BPGR
B06,7,BPSE
B07,45,AASA
B07,3,BAPN
B07,1,BARU
B08,121,AASA
B08,10,BAPN
C01,1,BAPN
C01,24,BARU
C01,12,BBPA
C01,3,BTOC
C02,1,AASA
C02,29,BAPN
C02,30,BARU
C02,74,BARU
C02,1,BBPA
C02,2,BPTR
C02,2,BTOC
C03,9,AASA
C03,3,BAPN
C03,67,BARU
C03,1,BPGR
C04,8,AASA
C04,1,AFGR
C04,14,BAPN
C04,66,BARU
C05,5,AASA
C05,5,BAPN
C05,46,BARU
C05,5,BBPA
C07,46,AASA
C07,4,BAPN
C07,18,BARU
C08,95,AASA
C08,17,BAPN
C08,3,BARU
D01,1,BABA
D01,1,BAPN
D01,30,BARU
D01,4,BTOC
D02,18,BAPN
D02,113,BARU
D03,10,BAPN
D03,31,BARU
D03,1,BPGR
D04,6,AASA
D04,29,BAPN
D04,105,BARU
D05,17,AASA
D05,4,BAPN
D05,11,BARU
D06,2,AASA
D06,17,BAPN
D06,92,BARU
D07,35,AASA
D07,22,BAPN
D07,20,BARU
D08,177,AASA
D08,23,BAPN
D08,32,BARU
E01,3,BABA
E01,16,BARU
E02,158,BARU
E03,3,AASA
E03,3,BAPN
E03,216,BARU
E04,4,AASA
E04,1,BABA
E04,3,BAPN
E04,68,BARU
E05,7,AASA
E05,3,BABA
E05,44,BAPN
E05,222,BARU
E06,12,AASA
E06,1,AFGR
E06,7,BABA
E06,12,BAPN
E06,40,BARU
E07,45,AASA
E07,162,BAPN
E07,10,BARU
E08,14,AASA
E08,4,BAPN
E08,23,BARU
