station,codeTaxa,nombre
A01,THOC,7
A02,ACRU,5
A03,ACRU,8
A04,ACRU,2
A04,BEAL,1
A05,ACSA,4
A05,ACRU,1
A05,POGR,1
A06,ACRU,9
A06,POGR,2
A06,ABBA,1
A06,ACSA,1
A07,ACSA,6
A07,ACRU,6
A08,ACRU,5
A08,ACSA,2
A08,BEPA,1
A09,ACSA,7
A09,ACRU,2
A10,FAGR,3
A11,BEPA,1
A11,ACSA,3
A11,FAGR,1
B00,THOC,1
B00,ACRU,1
B00,PISP,1
B00,PIST,1
B01,ACRU,5
B01,ABBA,3
B01,THOC,1
B02,ABBA,1
B02,ACRU,6
B03,ACRU,5
B03,ABBA,2
B04,ACSA,6
B04,ACRU,12
B05,ACSA,27
B05,ACRU,5
B06,ACSA,1
B07,ACSA,2
C01,ACRU,9
C02,ACRU,26
C02,THOC,1
C03,ACRU,13
C04,ACRU,21
C05,ACRU,7
C06,ACRU,7
C06,ACSA,2
C07,ACSA,2
C07,ACRU,1
C09,ACSA,3
C10,ACRU,8
C10,ACSA,1
D01,ACRU,3
D01,ABBA,5
D02,ACRU,7
D03,ACRU,3
D05,ACSA,5
D05,ACRU,3
D05,ABBA,1
D06,ACRU,3
D07,ACSA,13
D08,ACSA,5
D08,ACRU,2
D09,ACSA,4
D10,ACSA,10
E02,ACRU,2
E03,ACRU,19
E03,ACSA,6
E04,ACRU,14
E05,ACRU,3
E05,ABBA,1
E05,ACSA,3
E06,ACSA,7
E06,ACRU,2
E06,ABBA,2
E08,ACSA,6
E08,ACRU,1
E08,ABBA,1
E09,ACSA,6
E09,ACRU,4
E09,FAGR,1
