station,count,codeTaxa
A01,19,BARU
A01,1,BBPA
A01,6,BPGR
A01,16,BTOC
A02,4,BABA
A02,118,BARU
A03,6,AASA
A03,55,BAPN
A03,96,BARU
A04,34,BAPN
A04,49,BARU
A05,27,BAPN
A05,27,BARU
A05,1,BPBA
A06,1,AFGR
A06,32,BAPN
A06,47,BARU
A07,111,AASA
A07,50,BAPN
A07,50,BARU
A08,181,AASA
A08,1,AFGR
A08,27,BAPN
A08,50,BARU
A09,110,AASA
A09,10,BAPN
A09,4,BARU
A09,1,BPTR
A10,199,AASA
A10,7,AFGR
A10,5,BAPN
A10,13,BARU
B00,11,BARU
B00,2,BBPA
B00,4,BPMA
B01,1,BABA
B01,22,BARU
B01,4,BBPA
B01,10,BTOC
B02,7,AASA
B02,2,BAPN
B02,16,BARU
B03,4,BABA
B03,10,BAPN
B03,36,BARU
B03,1,BTOC
B04,2,AASA
B04,4,BAPN
B04,33,BARU
B04,1,BBPA
B05,36,AASA
B05,5,BAPN
B05,26,BARU
B06,75,AASA
B06,24,BARU
B07,239,AASA
B07,4,BAPN
B07,1,BARU
C01,1,BAPN
C01,37,BARU
C02,2,AASA
C02,1,APST
C02,11,BABA
C02,3,BAPN
C02,127,BARU
C03,2,AASA
C03,33,BAPN
C03,89,BARU
C04,44,AASA
C04,61,BAPN
C04,67,BARU
C05,32,AASA
C05,86,BAPN
C05,23,BARU
C06,18,AASA
C06,100,BAPN
C06,28,BARU
C07,13,AASA
C07,64,BAPN
C07,76,BARU
C08,136,AASA
C08,74,BAPN
C08,30,BARU
D01,2,BABA
D01,16,BARU
D01,22,BTOC
D02,1,BABA
D02,1,BAPN
D02,60,BARU
D02,5,BPGR
D02,2,BTOC
D03,80,BARU
D04,23,BAPN
D04,51,BARU
D05,58,AASA
D05,8,BAPN
D05,22,BARU
D05,4,BBAL
D06,1,AFGR
D06,22,BAPN
D06,88,BARU
D07,95,AASA
D07,24,BAPN
D07,2,BARU
D08,300,AASA
D08,8,BAPN
E01,12,BABA
E01,30,BARU
E01,2,BBAL
E02,3,AFGR
E02,1,BABA
E02,1,BAPN
E02,108,BARU
E02,2,BTOC
E03,15,AASA
E03,74,BARU
E04,14,BAPN
E04,35,BARU
E05,25,BAPN
E05,46,BARU
E05,3,BBPA
E06,12,AASA
E06,32,BAPN
E06,17,BARU
E07,8,AASA
E07,45,BAPN
E07,33,BARU
E08,43,AASA
E08,49,BAPN
E08,15,BARU
