station,dhp,codeTaxa
A01,47.4,APST
A01,15.4,BABA
A01,10.6,BARU
A01,16.1,BBPA
A01,23.1,BPGR
A01,19.9,BPMA
A01,20.4,BTOC
A02,21.5,APST
A02,16,BARU
A02,21.1,BBPA
A02,29.3,BPGR
A02,16.2,BTOC
A03,15.5,APST
A03,12.5,BABA
A03,11.4,BARU
A03,10.5,BBPA
A03,10.6,BPGL
A03,28.5,BPGR
A04,13.2,BABA
A04,30.65,BARU
A04,16.5,BBPA
A05,10.9,AASA
A05,10.4,AFGR
A05,18.4,BABA
A05,30.1,BARU
A05,24.5,BBPA
A05,37.7,BPGR
A06,22.1,AASA
A06,36,APST
A06,10.9,BABA
A06,21,BARU
A06,29.1,BBPA
A06,29.1,BPGR
A07,13,AASA
A07,18.7,BARU
A07,25.1,BBPA
A08,12.8,AASA
A08,12.3,BABA
A08,21.9,BBPA
A08,36.45,BPGR
A09,11,AASA
A09,10.8,AFGR
A09,25.6,BBPA
A09,38.1,BPGR
A10,12.3,AASA
A10,12.5,BARU
A11,18.4,AASA
A11,10.5,BABA
A11,17,BARU
A11,20.4,BBPA
A11,37.7,BPGR
A12,28.8,AASA
A12,11.4,BARU
A12,17.5,BBPA
A12,32.6,BPGR
B00,18,APST
B00,12.4,BARU
B00,16.1,BBPA
B00,25,BPGR
B00,13,BPMA
B00,15.1,BTOC
B01,15.2,AASA
B01,11,BABA
B01,24.5,BBPA
B01,24,BPGR
B01,14,BPMA
B01,21.3,BTOC
B02,11,AASA
B02,10.7,BABA
B02,14.9,BARU
B02,20.8,BBPA
B02,34.8,BPGR
B02,19.7,BTOC
B03,24.7,APST
B03,16.8,BABA
B03,11.1,BARU
B03,19.2,BBPA
B03,14.5,BPGR
B03,11.8,BPMA
B04,19.3,BARU
B04,20.2,BBPA
B04,30.6,BPGR
B04,23.6,AASA
B05,10.7,AASA
B05,15.7,AFGR
B05,13,BARU
B05,19.4,BBPA
B06,23.7,AASA
B06,10.2,BARU
B06,14.5,BBPA
B06,40,BPGR
B07,20.9,AASA
B08,22.8,AASA
B09,26.4,AASA
B09,38,BBPA
B10,18.5,AASA
B10,29,BBPA
B11,14.5,AASA
B11,11.7,BARU
B11,19.3,BBPA
C01,24.5,APST
C01,13.7,BARU
C01,21.6,BBPA
C01,34.3,BPGR
C01,16.9,BTOC
C02,41.85,APST
C02,12.35,BABA
C02,13.1,BARU
C02,11.15,BBPA
C02,22.7,BPGR
C03,33.85,APST
C03,10.35,BABA
C03,19.35,BARU
C03,17.6,BBPA
C03,24.25,BPGR
C04,26.2,BARU
C04,29,BBPA
C04,34.6,BPGR
C05,13,AASA
C05,13.9,BARU
C05,14.6,BBPA
C05,18.4,BPGR
C06,13.7,AASA
C06,12.9,BABA
C06,14.8,BARU
C06,14.8,BBPA
C06,24.5,BPGR
C07,10.8,AASA
C07,22.8,BBPA
C08,24.7,AASA
C08,13.8,BARU
C08,22.1,BBPA
C09,12.9,AASA
C09,16.7,BBPA
C10,20.2,AASA
C10,18.4,BARU
C10,38,BBPA
C10,27,BPGR
C11,14.7,AASA
C11,23.4,BBPA
C11,45,BPGR
C12,13.5,AASA
C12,25.6,AFGR
C12,28.9,BBPA
D01,18.7,AASA
D01,13,BABA
D01,14.9,BARU
D01,24.5,BBPA
D01,52.5,BPGR
D01,20.7,BTOC
D02,44.3,APST
D02,14.6,BABA
D02,10,BARU
D02,14.2,BBPA
D02,41.7,BPGR
D03,14.9,AASA
D03,21,APST
D03,14.1,BABA
D03,21.4,BARU
D03,21.1,BBPA
D03,35.9,BPGR
D04,11.6,AASA
D04,18.2,BABA
D04,18.9,BARU
D04,16,BBPA
D04,27.9,BPGR
D05,16,AASA
D05,11.2,BBPA
D05,22,BPGR
D06,13.9,AASA
D06,10.9,BABA
D06,14.8,BARU
D06,18.7,BBPA
D06,26.2,BPGR
D07,12.8,AASA
D07,11.9,AFGR
D07,14.2,BARU
D07,10.8,BBAL
D07,29.3,BBPA
D08,12.4,AASA
D08,13.5,AFGR
D08,32.5,BBPA
D09,15.2,AASA
D09,12,BABA
D09,23,BBPA
D10,13.7,AASA
D10,28.5,BBPA
D11,28.5,AASA
D11,10,AFGR
D11,29.2,BBPA
E01,14.1,BABA
E01,14.1,BBPA
E01,22.5,BPGR
E01,14.1,BTOC
E02,21,BARU
E02,11.3,BBPA
E02,27.6,BPGL
E02,29.8,BPGR
E03,23.5,AASA
E03,20.8,BABA
E03,10.8,BARU
E03,24.8,BBPA
E03,22.1,BPGR
E03,14.6,BTOC
E04,27.7,BARU
E04,11.6,BBPA
E04,54.1,BPGR
E05,18.4,AASA
E05,26.6,APST
E05,20.8,BARU
E05,21.9,BBPA
E05,25.2,BPGR
E06,10,AASA
E06,16,BABA
E06,12.7,BARU
E06,19.1,BBPA
E06,59.7,BPGR
E07,27.4,BARU
E07,13.6,BBAL
E07,13.5,BBPA
E07,38.7,BPGR
E08,19.7,AASA
E08,28.7,AFGR
E08,22.8,BARU
E08,22.4,BBAL
E08,32.8,BBPA
E08,32.7,BPGR
E09,10.5,AASA
E09,13.4,AFGR
E09,23.1,BARU
E09,28.7,BBPA
E09,30.8,BPGR
E10,29.8,AASA
E10,36.6,BARU
E10,18.8,BBAL
E10,28.9,BBPA
