station,codeTaxa,dhp
A01,THOC,11
A01,PIST,26
A01,BEPA,12.8
A01,BEPA,13.1
A01,BEPA,19.2
A01,THOC,23
A01,POGR,30
A01,THOC,19.35
A01,POGR,25.8
A01,THOC,14.5
A01,THOC,18
A01,ABBA,16.4
A01,POGR,26.15
A01,THOC,24.1
A01,THOC,14.4
A01,THOC,11.1
A01,THOC,25.3
A01,PIST,52.5
A01,ABBA,13.8
A01,THOC,24.1
A01,THOC,21.7
A01,THOC,15.5
A01,THOC,13.8
A01,THOC,15.4
A01,THOC,22.2
A01,THOC,18.1
A01,THOC,14.5
A01,THOC,16.5
A01,THOC,18.8
A01,THOC,10.8
A01,POGR,25
A01,THOC,10.7
A01,ABBA,16.8
A01,BEPA,13.2
A01,THOC,18.5
A01,THOC,11.5
A01,THOC,22
A01,ABBA,10.6
A01,BEPA,14
A01,BEPA,11.2
A01,PISP,23
A01,ABBA,11
A01,ABBA,10.5
A01,PISP,16.6
A01,PIST,30.7
A01,THOC,13.8
A02,BEPA,16.9
A02,BEPA,25.5
A02,BEPA,12.9
A02,ACRU,10.1
A02,BEPA,11.1
A02,ABBA,17.5
A02,BEPA,12.5
A02,BEPA,22.3
A02,BEPA,18.5
A02,BEPA,13.6
A02,BEPA,14
A02,BEPA,12.2
A02,POGR,31.1
A02,ABBA,12
A02,ABBA,13.1
A02,BEPA,12.9
A02,BEPA,11.4
A02,BEPA,21.7
A02,BEPA,15.4
A02,BEPA,15.3
A02,ACRU,19.3
A02,ACRU,15.1
A02,BEPA,23.4
A02,BEPA,13.1
A02,THOC,20.2
A02,PIST,29.4
A02,POGR,33.7
A02,POGR,36.5
A02,POGR,26
A02,ACRU,18.3
A02,ACRU,16.5
A02,ACRU,15.9
A02,POGR,29.2
A02,POGR,37.1
A02,POGR,43.5
A02,POGR,33.2
A03,PIST,53.9
A03,BEPA,13.7
A03,ACRU,26.9
A03,BEPA,20.3
A03,POGR,36.7
A03,ACRU,12
A03,ABBA,11.6
A03,ABBA,13.3
A03,BEPA,11.3
A03,POGR,33.5
A03,POGR,45.2
A03,PIST,19.7
A03,ACSA,22.3
A03,ACRU,13.8
A03,ACRU,13.5
A03,BEPA,13.2
A03,BEPA,20
A03,BEPA,16.4
A03,BEPA,10.4
A03,BEPA,18.6
A03,BEPA,15.5
A03,BEPA,14.3
A03,ACRU,14.2
A03,BEPA,14.5
A03,BEPA,23.7
A03,BEPA,13
A03,BEPA,20
A03,PIST,21.1
A03,ABBA,13
A03,BEPA,20
A03,BEPA,11.2
A03,ABBA,11.2
A03,BEPA,25
A03,BEPA,14.5
A03,BEPA,15.8
A03,POGR,12
A03,ABBA,12
A03,ABBA,24.3
A03,ACRU,13.6
A03,BEPA,18.1
A03,ABBA,13.8
A03,BEPA,18.2
A03,ABBA,11.2
A04,ABBA,24.5
A04,ACRU,13.2
A04,ACRU,24.2
A04,ACRU,16.8
A04,ACRU,14.2
A04,ACRU,13.6
A04,ACRU,10.8
A04,ACRU,17.6
A04,BEPA,15.2
A04,BEPA,17.5
A04,ABBA,19.3
A04,BEPA,24
A04,BEPA,22.3
A04,ACRU,17.5
A04,BEPA,24.5
A04,BEPA,23.7
A04,BEPA,20.7
A04,ACRU,18.2
A04,ACRU,18.3
A04,BEPA,24.1
A04,BEPA,23.1
A04,ACRU,10.4
A04,POGR,42.4
A04,ACRU,17
A04,ACRU,10.5
A04,BEPA,15.4
A04,BEPA,28.7
A04,BEPA,27
A04,BEPA,27.3
A04,BEPA,30.5
A04,BEPA,26.8
A04,BEPA,25.2
A04,ACRU,13.9
A04,ACRU,31.4
A04,ACRU,12.8
A04,BEPA,17.1
A04,PIST,25.1
A04,ACRU,39.5
A04,ACRU,13.1
A04,BEPA,18.5
A05,ABBA,20.5
A05,ACRU,15.8
A05,ACRU,18
A05,ACRU,20
A05,BEPA,25.5
A05,POGR,40
A05,ACRU,12
A05,ACRU,11.5
A05,ACRU,15
A05,ABBA,32
A05,ACRU,19
A05,BEPA,32
A05,BEPA,22
A05,BEPA,19
A05,ACSA,15
A05,ABBA,10.5
A05,ACRU,34
A05,ACRU,16.5
A05,ACSA,13
A05,POGR,38
A05,ACRU,12
A05,BEPA,19
A05,BEPA,30.5
A06,BEPA,11.7
A06,BEPA,23.5
A06,BEPA,14
A06,BEPA,12.7
A06,ABBA,14.1
A06,BEPA,18.3
A06,BEPA,16.7
A06,BEPA,25.2
A06,BEPA,22
A06,ACRU,10.7
A06,PIST,53.1
A06,BEPA,12
A06,PIST,44.3
A06,POGR,31.3
A06,ACSA,13
A06,ACSA,14.4
A06,ACSA,22.5
A06,BEPA,21.5
A06,POGR,39.3
A06,POGR,27.7
A06,BEPA,20
A06,BEPA,16.7
A06,ACRU,10
A06,POGR,38.3
A06,ACRU,17.4
A06,POGR,41.1
A06,POGR,31.1
A07,ACSA,23.3
A07,ACSA,12.9
A07,BEPA,22.3
A07,BEPA,27
A07,BEPA,28.4
A07,BEPA,21
A07,ACSA,13.2
A07,ACSA,10.1
A07,ACSA,10
A07,ACSA,19.6
A07,BEPA,35
A07,BEPA,22.2
A07,BEPA,31.5
A07,ABBA,11.5
A07,ACSA,25.4
A07,ACSA,27.3
A07,ABBA,10.3
A07,ACSA,13.3
A07,ACSA,16.5
A07,ACSA,20.9
A07,ACSA,32.4
A07,ACSA,18.3
A07,ACSA,21.8
A07,ACSA,14
A07,ACRU,11.2
A07,ACSA,12
A07,ACSA,11
A07,ACSA,23
A07,POGR,50.4
A07,ACSA,12
A07,ACSA,19.8
A07,ACSA,14.1
A08,BEPA,35.6
A08,BEPA,34.4
A08,BEPA,32.7
A08,ACSA,26
A08,ACSA,10.7
A08,ACSA,14
A08,ACSA,26.8
A08,ACSA,15.7
A08,ACSA,30.4
A08,ACSA,20.5
A08,ACSA,15
A08,ABBA,12
A08,BEPA,29.1
A08,ACSA,29
A08,ACSA,19
A08,ACRU,11
A08,POGR,36.1
A08,ABBA,14.5
A08,POGR,40.3
A08,ABBA,15.2
A08,ACSA,19.4
A08,ACSA,20.6
A08,ACSA,17.7
A08,ACSA,21.6
A08,ACSA,23.9
A08,ACSA,13.5
A08,ACSA,27.2
A08,ACSA,23.3
A09,POGR,49
A09,ACSA,11.5
A09,ACSA,28
A09,ACSA,16.5
A09,ACSA,10.5
A09,ACSA,14
A09,ACSA,24
A09,ACSA,10.5
A09,FAGR,13.5
A09,BEPA,27
A09,ABBA,17
A09,ACSA,10.5
A09,ACSA,22
A09,ACSA,29
A09,ACSA,21.5
A09,ACSA,18
A09,ACSA,38.5
A09,ACSA,16
A09,ACSA,23
A09,ACSA,26.5
A09,ACSA,23.5
A09,ACSA,12
A09,ACSA,18
A09,ACSA,24
A09,ACSA,16.5
A09,ACSA,24
A09,ACSA,18
A09,ACSA,14
A09,ACSA,17.5
A09,ACSA,18.5
A09,ACSA,12.5
A09,ACSA,17.5
A09,ACSA,11
A09,ACSA,15.5
A09,ACSA,18
A10,ACSA,37.7
A10,ACSA,20.6
A10,ACSA,16.2
A10,ACSA,25
A10,ACSA,20.1
A10,ACSA,20.7
A10,ACSA,13.5
A10,ACSA,15
A10,ACSA,22.5
A10,ACSA,12.5
A10,ACSA,29
A10,ACSA,24.1
A10,ACSA,12.5
A10,ACSA,13.1
A10,ACRU,21.5
A10,ACSA,25.7
A10,ACSA,16.7
A10,ACSA,15.5
A10,ACSA,12.5
A10,ACSA,16.5
A10,ACSA,25
A10,ACSA,12.2
A10,ACSA,12.7
A10,ACSA,22.3
A10,ACSA,12
A10,ACSA,24.2
A10,ACSA,15.7
A10,ACSA,18.2
A10,ACSA,12.4
A10,ACSA,24.5
A10,ACSA,12.1
A10,ACSA,17.9
A10,ACSA,12.5
A11,ACSA,33.4
A11,ACSA,40
A11,ACSA,32.9
A11,ACSA,16.4
A11,ACSA,17.4
A11,ACSA,15
A11,ACSA,20
A11,ACSA,22.7
A11,ACSA,18.5
A11,ACSA,20.2
A11,ACSA,13.1
A11,ACSA,31.3
A11,ACSA,19.1
A11,ACSA,13.4
A11,ACSA,12.3
A11,ACSA,28.5
A11,ACSA,20.5
A11,ACSA,18.2
A11,ACSA,18.5
A11,ACSA,16.5
A11,ABBA,10.3
A11,ACSA,14.1
A11,ACSA,13.8
A11,ACSA,13.3
A11,ACSA,18.7
A11,ACSA,17
A11,ACSA,11.5
A11,ACSA,22.2
A11,ACSA,11.6
A11,ACSA,16
A11,ACSA,20.4
A11,ACSA,17
A11,ACSA,22
A11,ABBA,11.8
A11,ACSA,13
A11,ACSA,20.5
B00,THOC,12.5
B00,PIST,15.5
B00,PIST,10.5
B00,PIST,18
B00,PIST,21
B00,PIST,32.5
B00,PIST,21
B00,PIST,39
B00,PIST,20
B00,PIST,26
B00,PIST,36
B00,PIST,15
B00,PIST,32
B00,PIST,38
B00,PIST,31
B00,THOC,16
B00,THOC,12.5
B00,THOC,10.5
B00,THOC,11
B00,THOC,17.5
B00,THOC,13
B00,THOC,15
B00,THOC,17
B00,THOC,13
B00,THOC,12
B00,THOC,22
B00,THOC,16
B00,THOC,13
B00,THOC,15
B00,THOC,16
B00,THOC,16.5
B00,THOC,19
B00,THOC,20.5
B00,THOC,13
B00,ABBA,15
B00,BEPA,11
B00,BEPA,20
B00,BEPA,11
B00,BEPA,14
B00,BEPA,12
B00,BEPA,12
B00,ABBA,14
B00,PIST,30.5
B00,PIST,19
B01,ABBA,12
B01,ABBA,11
B01,ACRU,11.5
B01,ACRU,12
B01,ACRU,12
B01,ACRU,20
B01,BEPA,22
B01,BEPA,20
B01,BEPA,15
B01,BEPA,21
B01,BEPA,13
B01,BEPA,20
B01,BEPA,13
B01,BEPA,12
B01,BEPA,23
B01,BEPA,20
B01,BEPA,25
B01,BEPA,29
B01,BEAL,26
B01,THOC,23
B01,THOC,23
B01,THOC,20
B01,THOC,15
B01,THOC,17
B01,THOC,19
B01,THOC,15
B01,THOC,17
B01,THOC,25
B01,THOC,22
B01,THOC,25
B01,THOC,15
B01,THOC,12
B01,THOC,21
B01,THOC,22
B01,THOC,14
B01,THOC,24
B01,THOC,15.5
B01,THOC,16
B01,THOC,18
B01,THOC,21
B01,THOC,16
B02,BEPA,30
B02,BEPA,23
B02,BEPA,22
B02,BEPA,24
B02,BEPA,25
B02,BEPA,24
B02,BEPA,25
B02,BEPA,21
B02,BEPA,19
B02,BEPA,14
B02,BEPA,22
B02,ACRU,20.5
B02,ACRU,22.5
B02,ACRU,16
B02,ACRU,12
B02,ACRU,12
B02,ACRU,18
B02,ACRU,40
B02,ACRU,12
B02,ACRU,15
B02,ACRU,11
B02,ABBA,26
B02,ABBA,16
B02,ABBA,20
B02,THOC,11.5
B02,THOC,28
B02,THOC,26
B03,ACRU,15
B03,ACRU,15
B03,ACRU,13
B03,POGR,26
B03,POGR,23.5
B03,POGR,31
B03,POGR,21
B03,POGR,15.5
B03,BEPA,13
B03,BEPA,20
B03,BEPA,18
B03,BEPA,20
B03,BEPA,15.5
B03,BEPA,20
B03,BEPA,19
B03,BEPA,17
B03,BEPA,11.5
B03,BEPA,21.5
B03,BEPA,14
B03,BEPA,15.5
B03,ABBA,16
B03,ABBA,17
B03,ABBA,12
B03,ABBA,15
B03,ABBA,13
B03,PIST,45.5
B03,PIST,23
B03,PIST,10.5
