station,cover,codeTaxa
A01,1,AASP
A01,1,CCST
A01,1,CSIX
A01,2,DKAN
A01,2,DLGR
A01,2,DNMU
A01,2,DVAN
A01,1,DVCA
A01,5,DVMY
A01,1,FERE
A01,1,GAAC
A01,2,GCCN
A01,2,GGPR
A01,1,HLBO
A01,1,JDSP
A01,1,LCAC
A01,3,LPAQ
A01,1,UCUM
A02,1,DNMU
A02,1,DVCA
A02,1,DVMY
A02,1,ELOB
A02,1,GAAC
A02,2,GANU
A02,1,GCCN
A02,1,GGPR
A02,1,HVSP
A02,1,KPLE
A02,1,LCAC
A02,1,LCBO
A02,1,LMCA
A02,1,LMVI
A02,2,LPAQ
A02,1,LPPU
A02,1,MTBO
A02,1,UCUM
A03,1,AASP
A03,3,BSAM
A03,2,CCCR
A03,1,DDLO
A03,1,DKAN
A03,1,DNMU
A03,1,DRGL
A03,1,DVAN
A03,1,DVMY
A03,1,ELAN
A03,1,ELCL
A03,1,FERE
A03,2,GANU
A03,2,GCCN
A03,1,GGPR
A03,1,KCGR
A03,1,KPSE
A03,1,LCAC
A03,1,LCBO
A03,1,LGRE
A03,1,LMCA
A03,1,LPAQ
A03,1,LPVG
A03,2,MTBO
A03,1,UCUM
A04,1,AASP
A04,1,BSAM
A04,4,CCCR
A04,1,CSIX
A04,1,DLCD
A04,1,DVMY
A04,1,ELCL
A04,1,ELLU
A04,1,ELOB
A04,2,GAAC
A04,3,GANU
A04,2,GCCN
A04,1,GRAM
A04,1,HPSP
A04,2,HVSP
A04,2,LCBO
A04,1,LGRE
A04,3,LMCA
A04,3,LPAQ
A04,1,LSRO
A04,2,MTBO
A04,1,SMUN
A04,1,UCUM
A05,5,CASP
A05,3,CCAL
A05,3,CCCR
A05,2,DDLO
A05,1,DVAL
A05,1,DVAN
A05,2,DVCA
A05,1,DVMY
A05,1,ELCL
A05,1,ELLU
A05,1,ELOB
A05,1,FGSP
A05,2,GAAC
A05,2,GANU
A05,1,GCCN
A05,1,HVSP
A05,2,JAFI
A05,1,JDSP
A05,1,KCGR
A05,1,KDRE
A05,1,KPEL
A05,1,KPSE
A05,2,LCBO
A05,2,LDTH
A05,1,LMCA
A05,2,LOCL
A05,2,LPAQ
A05,1,LSRO
A05,1,MTBO
A05,1,SMUN
A06,1,CCAL
A06,1,DDLO
A06,1,DLCD
A06,1,DVMY
A06,1,ELLU
A06,1,GAAC
A06,4,GANU
A06,1,GCCN
A06,1,GGPR
A06,1,GRAM
A06,1,HVSP
A06,1,JDPU
A06,2,JDSP
A06,1,KPEL
A06,1,LCAC
A06,1,LCBO
A06,3,LMCA
A06,1,LMVI
A06,3,LPAQ
A06,1,LPPU
A06,1,LSRA
A06,1,MTBO
A06,1,SMUN
A06,1,UCUM
A07,2,CCAL
A07,1,CCCR
A07,1,DLCD
A07,1,DVMY
A07,1,ELAN
A07,1,ELCL
A07,1,ELCM
A07,1,EMRE
A07,1,GAAC
A07,3,GANU
A07,1,HVSP
A07,1,JDSP
A07,1,KPEL
A07,1,KPSE
A07,2,LCBO
A07,1,LMCA
A07,1,LMVI
A07,1,LPAQ
A07,1,LTER
A07,1,MTBO
A07,1,SMUN
A07,1,UCUM
A08,3,CASP
A08,1,DDLO
A08,1,DVAN
A08,1,DVCA
A08,1,ELCL
A08,1,ELCM
A08,1,ELLU
A08,1,ELOB
A08,1,GAAC
A08,4,GANU
A08,1,GRAM
A08,1,HVSP
A08,1,IAMA
A08,1,KPEL
A08,1,LCBO
A08,1,LMCA
A08,1,LMVI
A08,2,LPAQ
A08,1,LSRA
A08,1,LTER
A08,1,MTBO
A08,1,UCUM
A09,1,DDLO
A09,1,DVMY
A09,1,ELAN
A09,2,ELCM
A09,2,ELOB
A09,1,GAAC
A09,3,GANU
A09,1,HCAR
A09,1,HVSP
A09,1,KPEL
A09,1,LMCA
A09,1,LMVI
A09,1,LPAQ
A09,1,LTER
A09,1,MTBO
A10,1,CCCR
A10,1,DLCD
A10,1,DVAL
A10,1,DVCA
A10,1,ELCL
A10,1,ELCM
A10,1,ELOB
A10,1,GAAC
A10,6,GANU
A10,1,GCCN
A10,1,GRAM
A10,1,HVSP
A10,1,JDSP
A10,1,KPEL
A10,1,LASP
A10,1,LMCA
A10,1,LMVI
A10,2,LPAQ
A10,1,LPPU
A10,1,LSRA
A10,1,LSRO
A10,1,LTER
A10,1,MTBO
A10,1,SMUN
A11,4,CCCR
A11,1,DDLO
A11,1,DVMY
A11,1,ELCL
A11,2,ELCM
A11,1,EMRE
A11,2,GAAC
A11,7,GANU
A11,1,HCAR
A11,1,HVSP
A11,2,LCBO
A11,5,LDNO
A11,1,LMCA
A11,1,LMVI
A11,3,LPAQ
A11,1,LSRO
A11,2,MTBO
A11,1,SMUN
A11,1,UCUM
A12,1,DLCD
A12,1,DTXA
A12,1,ELLU
A12,1,ELOB
A12,1,GAAC
A12,3,GANU
A12,1,JDSP
A12,1,KPEL
A12,1,LCBO
A12,1,LMCA
A12,1,LMVI
A12,1,LPAQ
A12,1,LPPU
A12,1,LSRA
A12,1,LSRO
A12,1,MTBO
A12,1,SMUN
A13,1,CCAL
A13,1,DVAN
A13,1,DVMY
A13,1,ELOB
A13,1,GAAC
A13,3,GANU
A13,1,GRAM
A13,1,HVSP
A13,1,KPEL
A13,1,LCBO
A13,1,LMCA
A13,1,LMCA
A13,1,LMVI
A13,2,LPAQ
A13,1,LSRA
A13,1,LSRO
A13,1,LTER
A13,1,MTBO
A13,1,SMUN
A13,1,UCUM
A14,1,AASP
A14,1,CASP
A14,1,CCCR
A14,1,DDLO
A14,1,DLCD
A14,1,GAAC
A14,2,GANU
A14,1,HVSP
A14,1,JDPU
A14,2,JDSP
A14,1,LCBO
A14,1,LMCA
A14,1,LPAQ
A14,1,LSRO
A14,1,LTER
A14,1,MTBO
A14,1,SMUN
A15,1,BSAM
A15,1,CASP
A15,1,CCAL
A15,3,CCCR
A15,1,DLCD
A15,2,DVAL
A15,1,ELCL
A15,2,ELLU
A15,1,EMRE
A15,1,FGSP
A15,1,FRAL
A15,2,FRID
A15,1,GAAC
A15,1,GANU
A15,1,GRAM
A15,1,HVSP
A15,1,JDSP
A15,1,KPEL
A15,1,KTCO
A15,1,LASP
A15,1,LCBO
A15,1,LDNO
A15,1,LMVI
A15,1,LPPU
A15,1,LSRA
A15,1,LSRO
A15,1,LTER
A15,1,MTBO
A16,1,BSAM
A16,2,CASP
A16,2,CCAL
A16,2,DLCD
A16,1,DNMU
A16,1,FRID
A16,2,GAAC
A16,3,GANU
A16,1,GCCN
A16,1,HPSP
A16,1,HVSP
A16,2,JAFI
A16,2,JDSP
A16,1,KPEL
A16,1,KPSE
A16,1,LCAC
A16,1,LCBO
A16,1,LDNO
A16,2,LDPH
A16,1,LMCA
A16,1,LMVI
A16,1,LPAQ
A16,1,LPVG
A16,1,LSRA
A16,1,LTER
A16,1,MTBO
A16,1,SMUN
B00,1,AASP
B00,1,DKAN
B00,1,DLGR
B00,2,DNMU
B00,1,DSAL
B00,1,DVCA
B00,2,DVMY
B00,1,FERE
B00,1,GANU
B00,1,GCCN
B00,1,GGPR
B00,1,HLBO
B00,1,HVSP
B00,1,LCAC
B00,1,LCBO
B00,1,LMCA
B00,3,LPAQ
B00,1,MTBO
B00,1,SMUN
B01,1,BSAM
B01,1,CCCR
B01,1,CSIX
B01,1,DLCD
B01,1,DNMU
B01,1,DVAN
B01,1,DVCA
B01,1,DVMY
B01,1,GAAC
B01,1,GANU
B01,1,GCCN
B01,1,HLBO
B01,1,HVSP
B01,1,JDSP
B01,1,KCGR
B01,1,KDRE
B01,1,KPSE
B01,1,LCAC
B01,1,LCBO
B01,1,LDTH
B01,1,LMCA
B01,1,LOCI
B01,1,LPAQ
B01,1,LPVG
B01,1,LTER
B01,1,MTBO
B02,1,AASP
B02,4,CASP
B02,1,CCAL
B02,1,DDLO
B02,1,DKAN
B02,1,DLCD
B02,1,DNMU
B02,1,DSAL
B02,1,DVAL
B02,1,DVAN
B02,1,DVCA
B02,1,ELCL
B02,1,ELLU
B02,1,ELOB
B02,1,GAAC
B02,1,GANU
B02,1,GCCN
B02,1,HVSP
B02,1,KCGR
B02,1,KPEL
B02,1,LCAC
B02,1,LCBO
B02,1,LMCA
B02,1,LPAQ
B02,1,LTCE
B02,1,MTBO
B02,1,UCUN
B03,1,AASP
B03,1,CCCR
B03,1,DDLO
B03,1,DKAN
B03,1,DVAN
B03,1,DVCA
B03,1,DVMY
B03,1,ELCL
B03,1,ELOB
B03,1,EMRE
B03,1,FERE
B03,1,GAAC
B03,2,GANU
B03,1,GCCN
B03,1,GGPR
B03,1,JDSP
B03,1,KCGR
B03,1,KDRE
B03,1,LCAC
B03,1,LCBO
B03,1,LDTH
B03,1,LMCA
B03,1,LMVI
B03,2,LPAQ
B03,1,LSRA
B03,1,MTBO
B03,1,UCUM
B04,1,AASP
B04,1,CASP
B04,1,CCCR
B04,1,DVAL
B04,1,DVCA
B04,1,DVMY
B04,1,ELCL
B04,1,ELOB
B04,1,GAAC
B04,3,GANU
B04,1,GCCN
B04,1,GRAM
B04,1,GSSP
