station,codeTaxa,couv
C01,PTAQ,3
C01,GAPR,0.5
C01,LIBO,0.5
C01,MEVI,0.5
C01,COAL,0.5
C01,VAMY,3
C01,DRCA,0.5
C01,COCA,0.5
C01,ILMU,0.5
C01,EPRE,0.5
C01,MOUN,0.5
C01,CYAC,0.5
C01,LYBO,0.5
C01,RURE,0.5
C01,CLBO,0.5
C01,PYEL,0.5
C01,MACA,0.5
C01,KAAN,0.5
C01,DILO,0.5
C01,AMSP,0.5
C01,ARNU,0.5
C01,CHUM,0.5
C01,VINU,0.5
C01,COCO,0.5
C01,MARA,0.5
C01,ACPE,3
B01,MACA,0.5
B01,LYBO,0.5
B01,MEVI,0.5
B01,VAMY,0.5
B01,VINU,0.5
B01,ARNU,0.5
B01,DRCA,0.5
B01,PHCO,0.5
B01,GORE,0.5
B01,RURE,0.5
B01,GYDR,0.5
B01,OCAC,0.5
B01,COCA,0.5
B01,COTR,0.5
B01,GAPR,0.5
B01,MARA,0.5
B01,LOCA,0.5
B01,SOAM,0.5
B01,POVI,0.5
B01,AMSP,0.5
B01,HULU,0.5
B01,CYAC,0.5
B01,EPHE,0.5
B01,VAAN,0.5
B01,ILMU,0.5
B01,OSCL,0.5
B01,KAAN,0.5
B01,ORSE,0.5
B01,PTAQ,0.5
B01,OSCI,0.5
B01,COCO,0.5
B01,MOUN,0.5
B01,VISP,0.5
B01,ACSP,0.5
B01,ACPE,3
C02,CHUM,3
C02,LYBO,0.5
C02,VINU,0.5
C02,CLBO,0.5
C02,OCAC,0.5
C02,KAAN,0.5
C02,GAPR,0.5
C02,ILMU,0.5
C02,RHGR,0.5
C02,CYAC,0.5
C02,COSE,0.5
C02,COTR,0.5
C02,MEVI,0.5
C02,ALIN,0.5
C02,PTAQ,10
C02,MACA,3
C02,ARNU,10
C02,VAMY,10
C02,COCA,3
C02,TRUN,0.5
C02,RURE,0.5
C02,MIRE,0.5
C02,COCO,0.5
C02,EPRE,0.5
C02,LOCA,0.5
C02,ACPE,20
E03,MACA,0.5
E03,LYBO,0.5
E03,ARNU,3
E03,TRUN,0.5
E03,POPU,0.5
E03,CHUM,0.5
E03,STLA,0.5
E03,DEOB,0.5
E03,COCA,0.5
E03,ACPE,10
E03,COCO,3
E03,SYCO,0.5
E03,CYAC,0.5
E03,ACSP,0.5
E03,VINU,3
E03,COTR,0.5
E03,PTAQ,3
E03,CLBO,0.5
E03,PYEL,0.5
E03,AMSP,0.5
E03,VAMY,0.5
E03,VILA,0.5
E03,COAL,0.5
E03,ILMU,0.5
E03,TRER,0.5
E03,KAAN,0.5
E03,RURE,0.5
E03,MEVI,0.5
E03,SOAM,0.5
E03,DRCA,0.5
E03,DICO,0.5
E03,SACA,0.5
E03,UVSE,0.5
E03,OCAC,0.5
E03,COSE,0.5
E03,DILO,0.5
E03,GAPR,0.5
E03,LYAN,0.5
E03,HULU,0.5
E03,VAAN,0.5
E03,DRMA,0.5
E03,VISP,0.5
E03,MOUN,0.5
E03,RUID,0.5
E02,COCO,3
E02,VILA,3
E02,CLBO,0.5
E02,ARNU,0.5
E02,PTAQ,0.5
E02,OSCI,3
